item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336086208034,Derek Jeter 2001 Bowman #75 New York Yankees Legend HOF,4.44,3.405,2.84,2.85,8,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
336086208036,Derek Jeter 1997 Score #545 New York Yankees Legend HOF,1.99,3.44,1.98,1.99,12,Browse BIN | ActiveCache | Active median P1,
336086208038,Derek Jeter 2000 Upper Deck Hitter's Club #49 New York Yankees Legend HOF,2.5,2.545,2.5,2.5,5,Browse BIN | ActiveCache | Active median P1,
336086208039,Derek Jeter 2005 Topps Total Domination #200 New York Yankees Legend HOF,3.6,3.6,3.6,3.6,1,Browse BIN | ActiveCache | Active median P1,
336086208040,Derek Jeter 1999 UD Ionix #41 New York Yankees Legend HOF,2.35,2.74,2.25,2.25,9,Browse BIN | ActiveCache | Active median P1,
336086208041,Derek Jeter 2005 Upper Deck First Pitch #296 New York Yankees Legend HOF Captain,1.99,2.735,1.98,1.99,8,Browse BIN | ActiveCache | Active median P1,
336086208042,Derek Jeter 2000 Upper Deck #176 New York Yankees Legend HOF,1.95,2.99,1.96,1.95,15,Browse BIN | ActiveCache | Active median P1,
336086208043,Derek Jeter 2008 Upper Deck Fan Packs: 2007 Upper Deck Masterpieces #30 Yankees,3.49,3.48,3.47,3.49,3,Browse BIN | ActiveCache | Active median P1,
336086208044,Derek Jeter 2004 Fleer Classic Clippings #2 New York Yankees Legend HOF,2.99,2.99,2.99,2.99,3,Browse BIN | ActiveCache | Active median P1,
336086208045,Derek Jeter 1999 Pacific Private Stock #8 New York Yankees Legend HOF,3.2,3.89,3.2,3.2,9,Browse BIN | ActiveCache | Active median P1,
336086208046,Derek Jeter 2017 Topps Gypsy Queen #303 New York Yankees Legend HOF,3.16,23.130000000000003,14.0,14.0,6,Browse BIN | ActiveCache | Active median P1,Updated successfully (business policy warning only)
336086208047,Derek Jeter 2008 Upper Deck A Piece of History #64 New York Yankees,3.0,3.66,3.0,3.0,7,Browse BIN | ActiveCache | Active median P1,
336086208048,Derek Jeter 1997 Donruss Preferred #184 New York Yankees Legend HOF,2.09,4.02,2.09,2.09,15,Browse BIN | ActiveCache | Active median P1,
336086208049,Derek Jeter 1999 UD Choice #115 New York Yankees Legend HOF,1.59,2.99,1.59,1.59,13,Browse BIN | ActiveCache | Active median P1,
336086208050,Derek Jeter 1999 Bowman's Best #88 New York Yankees Legend HOF,2.95,8.0,2.95,2.95,14,Browse BIN | ActiveCache | Active median P1,
336086208051,Derek Jeter 2001 SPx #37 New York Yankees Legend HOF,2.1,2.94,2.1,2.1,7,Browse BIN | ActiveCache | Active median P1,
336086208052,Derek Jeter 1996 Studio #33 New York Yankees Legend HOF,3.0,8.120000000000001,3.0,3.0,12,Browse BIN | ActiveCache | Active median P1,
336086208054,Derek Jeter 2002 Fleer Tradition #489 New York Yankees Legend HOF Captain,1.99,2.07,1.99,1.99,5,Browse BIN | ActiveCache | Active median P1,
336086208055,Derek Jeter 1995 SkyBox E-Motion #60 New York Yankees Legend HOF,7.1,7.115,7.115,7.1,2,Browse BIN | ActiveCache | Active median P1,
336086208056,Derek Jeter 2003 Fleer Patchworks #2 New York Yankees Legend HOF Captain,2.25,2.615,2.24,2.25,9,Browse BIN | ActiveCache | Active median P1,
336086208057,Derek Jeter 2022 Topps Update 1987 Topps #87TBU-33 New York Yankees,1.9,3.0250000000000004,1.99,1.99,10,Browse BIN | ActiveCache | Active median P1,
336086208058,Derek Jeter 2002 Donruss Best of Fan Club #5 New York Yankees Legend HOF,4.79,4.78,4.78,4.79,3,Browse BIN | ActiveCache | Active median P1,
336086208059,Derek Jeter 2001 SP Authentic #36 New York Yankees Legend HOF,1.89,2.0,1.89,1.89,14,Browse BIN | ActiveCache | Active median P1,
336086208060,Derek Jeter 2013 Topps Gypsy Queen #150 New York Yankees Legend HOF,2.49,2.5650000000000004,2.49,2.49,8,Browse BIN | ActiveCache | Active median P1,
