item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236087318094,Charles Barkley 1992-93 Topps #270 Phoenix Suns,1.55,5.67,1.59,1.59,16,Browse BIN | Browse (Merged) | Active median P1,
335862450727,Alex Rodriguez 1999 Upper Deck HoloGrFX StarView Gold #S8 NM-MT OR BETTER,11.45,,2.0,6.87,12,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335999935876,Charles Barkley 1992-93 Fleer #265 Phoenix Suns,1.5,4.15,1.98,1.99,18,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336273353459,Matt Ryan 2015 Panini Prizm Collegiate Draft Picks Stained Glass #35,9.5,,1.5,5.7,4,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336255884207,Emmitt Smith 2020 Panini Prizm Draft Picks Prizms Purple #43 Florida Gators,8.2,,1.65,4.92,3,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335978243737,Rickey Henderson 1990 Score #360 NM-MT OR BETTER Oakland Athletics,1.55,3.49,1.79,1.79,25,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336277786453,Onyeka Okongwu 2020-21 Panini Prizm Silver Prizms RC #260 Atlanta Hawks,5.73,5.73,4.0,4.0,10,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
335902199860,Magic Johnson 1992-93 Topps All-Star #126 Los Angeles Lakers,1.6,,1.6,1.6,19,Browse BIN | Browse (Merged) | Active median P1,
236168862840,Justin Herbert 2021 Panini Select Red and Blue Prizm Die Cut #19 Chargers,4.2,3.97,3.0,3.0,6,Browse BIN | ActiveCache (Merged) | Active median P1,Updated successfully (business policy warning only)
236200900205,Romeo Doubs 2022 Panini Select Draft Picks Gold Lazer Prizm #16 Nevada Wolf Pack,2.39,,2.14,2.15,13,Browse BIN | Browse (Merged) | Active median P1,Updated successfully (business policy warning only)
336036092804,Justin Herbert 2020 Donruss Optic Rookie Elite Series #ESR-JH Chargers,5.1,5.5,4.99,4.99,18,Browse BIN | ActiveCache (Merged) | Active median P1,
336104163112,"Ken Griffey, Jr. 1992 Score #1 Seattle Mariners",1.7,2.32,1.78,1.79,27,Browse BIN | Browse (Merged) | Active median P1,
