item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
236400696277,Brett Favre 1994 Finest #124 Green Bay Packers,4.5,7.87,7.87,7.89,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696278,Brett Favre 1998 Topps Chrome #113 Green Bay Packers,1.99,2.5949999999999998,2.0,2.0,5,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696279,Brett Favre 1993 Score #25 Green Bay Packers,1.81,4.0,2.99,2.99,6,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696280,Brett Favre 1997 Topps Season's Best Air Command #4 Green Bay Packers,4.0,4.24,4.0,4.0,12,Browse BIN | ActiveCache | Active median P1,
236400696281,Brett Favre 1993 Stadium Club #210 Green Bay Packers,1.49,2.04,2.29,2.29,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696282,Brett Favre 1996 Topps Chrome #145 Green Bay Packers,2.19,4.4399999999999995,4.87,4.89,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696283,Brett Favre 1999 Topps Gold Label Race to... Gold #R1 Green Bay Packers,2.99,2.99,4.49,4.49,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336241656956,Brett Favre 1997 Stadium Club #65 Green Bay Packers,1.53,1.95,1.95,1.95,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336241656957,Brett Favre 2005 Topps Throwback Promos #4 Atlanta Falcons,1.84,1.915,1.99,1.99,9,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696284,Brett Favre 1999 Topps Picture Perfect #P2 Green Bay Packers,1.69,4.3149999999999995,1.69,1.69,11,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696285,Brett Favre 1995 Playoff Prime #35 Green Bay Packers,1.49,3.54,3.54,3.55,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696286,Brett Favre 1996 Stadium Club #174 Green Bay Packers,1.61,2.21,1.61,1.6,10,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696287,Brett Favre 1997 Score #3 Green Bay Packers,1.72,1.99,1.99,1.99,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696288,Brett Favre 1999 Topps Gold Label #10 Green Bay Packers,1.78,5.99,5.69,5.69,5,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696289,Brett Favre 1991 Stadium Club RC #94 Atlanta Falcons,10.99,13.735,12.99,12.99,12,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696291,Brett Favre 2002 Topps Heritage #154 Green Bay Packers,1.63,2.99,2.48,2.49,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696292,Brett Favre 1994 Playoff #30 Green Bay Packers,1.49,3.49,3.49,3.49,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696293,Brett Favre 1993 Topps #250 Green Bay Packers,1.49,2.7199999999999998,2.7199999999999998,2.7,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696294,Brett Favre 1998 Topps Hidden Gems #HG6 Green Bay Packers,2.49,3.505,2.49,2.49,8,Browse BIN | Browse BIN (Tier1) | Active median P1,
236400696295,Brett Favre 1993 Playoff #285 Green Bay Packers,1.49,2.99,2.99,2.99,4,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696296,Brett Favre 1998 Flair Showcase Row 2 #1 Green Bay Packers,2.29,,,,0,No solds | No actives | No data,
236400696297,Brett Favre 1995 Playoff Absolute #35 Green Bay Packers,1.52,,24.94,24.95,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236400696298,Brett Favre 1996 Playoff Prime #001 Green Bay Packers,1.49,,4.49,4.49,2,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336241656958,Brett Favre 1994 Stadium Club #604 Green Bay Packers,1.71,2.05,6.04,6.05,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336241656959,Brett Favre 1998 Flair Showcase Row 3 #1 Green Bay Packers,1.99,,,,0,No solds | No actives | No data,
336241656960,Brett Favre 1996 Score Field Force #245 Green Bay Packers,1.55,1.69,,1.69,0,Browse BIN | No actives | Sold median P1,
336241656962,Brett Favre 1995 Score Red Siege #64 Green Bay Packers,2.99,4.99,4.99,4.99,3,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
